time_ns,rmsd_protein,rmsd_dna,rmsd_all,rmsd_dna_inner,rmsd_dna_outer
0.0,2.3202,3.66269,3.03139,2.81798,4.42878
1.0,2.38981,3.54013,2.99057,3.05919,4.01577
2.0,2.26909,3.42043,2.87277,2.90553,3.92272
3.0,2.29065,3.41431,2.87832,2.96767,3.85813
4.0,2.39936,3.44825,2.94335,2.90858,3.97179
5.0,2.33273,3.83589,3.13615,3.1611,4.47888
6.0,2.30143,3.5508,2.95994,2.95152,4.1256
7.0,2.29279,3.63215,3.00287,2.89379,4.31842
8.0,2.33921,3.6349,3.02321,3.05608,4.19499
9.0,2.32694,3.46719,2.92323,2.99152,3.93703
